Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
9.2,29.99,0.6,3.399,0.011,104.9,  4.6, 12.3, 1.5,4751,139,2.383,0.012,-0.08,0.3,1.7,0.14,13.91,0.41,1.55,0.13,13.26,0.39,1.72,0.14,13.97,0.41,1
13.23,29.48,0.48,3.962,0.116,149.7,  8.3, 12.0, 3.9,5188,183,2.394,0.011,-0.21,0.3,1.0,0.14,10.51,0.68,1.04,0.15,10.74,0.7,1.0,0.14,10.52,0.68,2
12.58,41.39,0.54,4.311,0.013, 86.1,  4.6, 15.3, 1.6,4728,80,2.522,0.008,-0.15,0.15,1.72,0.1,11.9,0.26,1.54,0.09,11.29,0.24,1.72,0.1,11.92,0.26,1
12.14,41.17,0.9,4.414,0.061, 63.8,  2.9, 24.8, 2.7,5072,166,2.534,0.013,-0.12,0.3,1.71,0.18,11.69,0.48,1.67,0.17,11.55,0.48,1.75,0.18,11.83,0.49,2
11.74,36.91,0.71,3.991,0.064,116.1,  9.6, 14.0, 2.4,4718,148,2.471,0.012,-0.02,0.3,1.65,0.17,12.37,0.53,1.5,0.16,11.8,0.5,1.67,0.17,12.43,0.53,2
13.26,94.86,0.65,8.83,0.019, 59.1,  2.4, 29.6, 1.6,5123,162,2.899,0.009,-0.41,0.3,1.32,0.08,6.77,0.15,1.3,0.08,6.7,0.15,1.36,0.09,6.85,0.16,1
12.94,34.5,0.52,3.967,0.078, 83.3,  4.3, 13.6, 1.1,5089,154,2.458,0.01,-0.11,0.3,1.55,0.17,12.15,0.57,1.53,0.16,12.08,0.57,1.58,0.17,12.27,0.58,2
12.11,74.21,0.68,6.937,0.014, 66.8,  2.8, 23.8, 1.1,4671,80,2.772,0.007,0.29,0.15,1.45,0.08,8.19,0.16,1.34,0.07,7.89,0.15,1.46,0.08,8.23,0.16,1
13.88,157.75,1.06,12.633,0.018, 46.6,  2.2, 42.7, 2.7,5039,155,3.116,0.008,-0.1,0.3,1.42,0.09,5.45,0.12,1.39,0.09,5.41,0.12,1.44,0.09,5.5,0.12,1
13.28,103.13,0.83,9.468,0.017, 54.8,  2.0, 30.8, 2.4,5242,183,2.94,0.009,-0.17,0.3,1.33,0.09,6.47,0.16,1.38,0.09,6.58,0.16,1.35,0.09,6.53,0.16,1
